AppToolkitTaskExecutor,android.arch.core.executor.AppToolkitTaskExecutor,androidx.arch.core.executor.AppToolkitTaskExecutor,,,android.arch.core.executor,androidx.arch.core.executor,,
ArchTaskExecutor,android.arch.core.executor.ArchTaskExecutor,androidx.arch.core.executor.ArchTaskExecutor,Android.Arch.Core.Executor.ArchTaskExecutor,AndroidX.Arch.Core.Executor.ArchTaskExecutor,android.arch.core.executor,androidx.arch.core.executor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
DefaultTaskExecutor,android.arch.core.executor.DefaultTaskExecutor,androidx.arch.core.executor.DefaultTaskExecutor,Android.Arch.Core.Executor.DefaultTaskExecutor,AndroidX.Arch.Core.Executor.DefaultTaskExecutor,android.arch.core.executor,androidx.arch.core.executor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
JunitTaskExecutorRule,android.arch.core.executor.JunitTaskExecutorRule,androidx.arch.core.executor.JunitTaskExecutorRule,,,android.arch.core.executor,androidx.arch.core.executor,,
TaskExecutor,android.arch.core.executor.TaskExecutor,androidx.arch.core.executor.TaskExecutor,Android.Arch.Core.Executor.TaskExecutor,AndroidX.Arch.Core.Executor.TaskExecutor,android.arch.core.executor,androidx.arch.core.executor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
TaskExecutorWithFakeMainThread,android.arch.core.executor.TaskExecutorWithFakeMainThread,androidx.arch.core.executor.TaskExecutorWithFakeMainThread,,,android.arch.core.executor,androidx.arch.core.executor,,
CountingTaskExecutorRule,android.arch.core.executor.testing.CountingTaskExecutorRule,androidx.arch.core.executor.testing.CountingTaskExecutorRule,,,android.arch.core.executor.testing,androidx.arch.core.executor.testing,,
InstantTaskExecutorRule,android.arch.core.executor.testing.InstantTaskExecutorRule,androidx.arch.core.executor.testing.InstantTaskExecutorRule,,,android.arch.core.executor.testing,androidx.arch.core.executor.testing,,
FastSafeIterableMap,android.arch.core.internal.FastSafeIterableMap,androidx.arch.core.internal.FastSafeIterableMap,Android.Arch.Core.Internal.FastSafeIterableMap,AndroidX.Arch.Core.Internal.FastSafeIterableMap,android.arch.core.internal,androidx.arch.core.internal,Android.Arch.Core.Internal,AndroidX.Arch.Core.Internal
SafeIterableMap,android.arch.core.internal.SafeIterableMap,androidx.arch.core.internal.SafeIterableMap,Android.Arch.Core.Internal.SafeIterableMap,AndroidX.Arch.Core.Internal.SafeIterableMap,android.arch.core.internal,androidx.arch.core.internal,Android.Arch.Core.Internal,AndroidX.Arch.Core.Internal
Function,android.arch.core.util.Function,androidx.arch.core.util.Function,,,android.arch.core.util,androidx.arch.core.util,,
AndroidViewModel,android.arch.lifecycle.AndroidViewModel,androidx.lifecycle.AndroidViewModel,Android.Arch.Lifecycle.AndroidViewModel,AndroidX.Lifecycle.AndroidViewModel,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
ClassesInfoCache,android.arch.lifecycle.ClassesInfoCache,androidx.lifecycle.ClassesInfoCache,,,android.arch.lifecycle,androidx.lifecycle,,
CompositeGeneratedAdaptersObserver,android.arch.lifecycle.CompositeGeneratedAdaptersObserver,androidx.lifecycle.CompositeGeneratedAdaptersObserver,Android.Arch.Lifecycle.CompositeGeneratedAdaptersObserver,AndroidX.Lifecycle.CompositeGeneratedAdaptersObserver,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
ComputableLiveData,android.arch.lifecycle.ComputableLiveData,androidx.lifecycle.ComputableLiveData,Android.Arch.Lifecycle.ComputableLiveData,AndroidX.Lifecycle.ComputableLiveData,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
DefaultLifecycleObserver,android.arch.lifecycle.DefaultLifecycleObserver,androidx.lifecycle.DefaultLifecycleObserver,,,android.arch.lifecycle,androidx.lifecycle,,
Elements_extKt,android.arch.lifecycle.Elements_extKt,androidx.lifecycle.Elements_extKt,,,android.arch.lifecycle,androidx.lifecycle,,
EmptyActivityLifecycleCallbacks,android.arch.lifecycle.EmptyActivityLifecycleCallbacks,androidx.lifecycle.EmptyActivityLifecycleCallbacks,,,android.arch.lifecycle,androidx.lifecycle,,
ErrorMessages,android.arch.lifecycle.ErrorMessages,androidx.lifecycle.ErrorMessages,,,android.arch.lifecycle,androidx.lifecycle,,
FullLifecycleObserver,android.arch.lifecycle.FullLifecycleObserver,androidx.lifecycle.FullLifecycleObserver,,,android.arch.lifecycle,androidx.lifecycle,,
FullLifecycleObserverAdapter,android.arch.lifecycle.FullLifecycleObserverAdapter,androidx.lifecycle.FullLifecycleObserverAdapter,,,android.arch.lifecycle,androidx.lifecycle,,
GeneratedAdapter,android.arch.lifecycle.GeneratedAdapter,androidx.lifecycle.GeneratedAdapter,,,android.arch.lifecycle,androidx.lifecycle,,
GenericLifecycleObserver,android.arch.lifecycle.GenericLifecycleObserver,androidx.lifecycle.GenericLifecycleObserver,,,android.arch.lifecycle,androidx.lifecycle,,
HolderFragment,android.arch.lifecycle.HolderFragment,androidx.lifecycle.HolderFragment,,,android.arch.lifecycle,androidx.lifecycle,,
Input_collectorKt,android.arch.lifecycle.Input_collectorKt,androidx.lifecycle.Input_collectorKt,,,android.arch.lifecycle,androidx.lifecycle,,
Lifecycle,android.arch.lifecycle.Lifecycle,androidx.lifecycle.Lifecycle,Android.Arch.Lifecycle.Lifecycle,AndroidX.Lifecycle.Lifecycle,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
LifecycleDispatcher,android.arch.lifecycle.LifecycleDispatcher,androidx.lifecycle.LifecycleDispatcher,,,android.arch.lifecycle,androidx.lifecycle,,
LifecycleObserver,android.arch.lifecycle.LifecycleObserver,androidx.lifecycle.LifecycleObserver,,,android.arch.lifecycle,androidx.lifecycle,,
LifecycleOwner,android.arch.lifecycle.LifecycleOwner,androidx.lifecycle.LifecycleOwner,,,android.arch.lifecycle,androidx.lifecycle,,
LifecycleProcessor,android.arch.lifecycle.LifecycleProcessor,androidx.lifecycle.LifecycleProcessor,,,android.arch.lifecycle,androidx.lifecycle,,
LifecycleRegistry,android.arch.lifecycle.LifecycleRegistry,androidx.lifecycle.LifecycleRegistry,Android.Arch.Lifecycle.LifecycleRegistry,AndroidX.Lifecycle.LifecycleRegistry,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
LifecycleRegistryOwner,android.arch.lifecycle.LifecycleRegistryOwner,androidx.lifecycle.LifecycleRegistryOwner,,,android.arch.lifecycle,androidx.lifecycle,,
LifecycleService,android.arch.lifecycle.LifecycleService,androidx.lifecycle.LifecycleService,Android.Arch.Lifecycle.LifecycleService,AndroidX.Lifecycle.LifecycleService,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
Lifecycling,android.arch.lifecycle.Lifecycling,androidx.lifecycle.Lifecycling,Android.Arch.Lifecycle.Lifecycling,AndroidX.Lifecycle.Lifecycling,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
LiveData,android.arch.lifecycle.LiveData,androidx.lifecycle.LiveData,Android.Arch.Lifecycle.LiveData,AndroidX.Lifecycle.LiveData,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
LiveDataReactiveStreams,android.arch.lifecycle.LiveDataReactiveStreams,androidx.lifecycle.LiveDataReactiveStreams,,,android.arch.lifecycle,androidx.lifecycle,,
MediatorLiveData,android.arch.lifecycle.MediatorLiveData,androidx.lifecycle.MediatorLiveData,Android.Arch.Lifecycle.MediatorLiveData,AndroidX.Lifecycle.MediatorLiveData,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
MethodCallsLogger,android.arch.lifecycle.MethodCallsLogger,androidx.lifecycle.MethodCallsLogger,Android.Arch.Lifecycle.MethodCallsLogger,AndroidX.Lifecycle.MethodCallsLogger,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
AdapterClass,android.arch.lifecycle.model.AdapterClass,androidx.lifecycle.model.AdapterClass,,,android.arch.lifecycle.model,androidx.lifecycle.model,,
AdapterClassKt,android.arch.lifecycle.model.AdapterClassKt,androidx.lifecycle.model.AdapterClassKt,,,android.arch.lifecycle.model,androidx.lifecycle.model,,
EventMethod,android.arch.lifecycle.model.EventMethod,androidx.lifecycle.model.EventMethod,,,android.arch.lifecycle.model,androidx.lifecycle.model,,
EventMethodCall,android.arch.lifecycle.model.EventMethodCall,androidx.lifecycle.model.EventMethodCall,,,android.arch.lifecycle.model,androidx.lifecycle.model,,
InputModel,android.arch.lifecycle.model.InputModel,androidx.lifecycle.model.InputModel,,,android.arch.lifecycle.model,androidx.lifecycle.model,,
LifecycleObserverInfo,android.arch.lifecycle.model.LifecycleObserverInfo,androidx.lifecycle.model.LifecycleObserverInfo,,,android.arch.lifecycle.model,androidx.lifecycle.model,,
MutableLiveData,android.arch.lifecycle.MutableLiveData,androidx.lifecycle.MutableLiveData,Android.Arch.Lifecycle.MutableLiveData,AndroidX.Lifecycle.MutableLiveData,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
Observer,android.arch.lifecycle.Observer,androidx.lifecycle.Observer,,,android.arch.lifecycle,androidx.lifecycle,,
ObserversCollector,android.arch.lifecycle.ObserversCollector,androidx.lifecycle.ObserversCollector,,,android.arch.lifecycle,androidx.lifecycle,,
OnLifecycleEvent,android.arch.lifecycle.OnLifecycleEvent,androidx.lifecycle.OnLifecycleEvent,,,android.arch.lifecycle,androidx.lifecycle,,
ProcessLifecycleOwner,android.arch.lifecycle.ProcessLifecycleOwner,androidx.lifecycle.ProcessLifecycleOwner,Android.Arch.Lifecycle.ProcessLifecycleOwner,AndroidX.Lifecycle.ProcessLifecycleOwner,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
ProcessLifecycleOwnerInitializer,android.arch.lifecycle.ProcessLifecycleOwnerInitializer,androidx.lifecycle.ProcessLifecycleOwnerInitializer,Android.Arch.Lifecycle.ProcessLifecycleOwnerInitializer,AndroidX.Lifecycle.ProcessLifecycleOwnerInitializer,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
ReflectiveGenericLifecycleObserver,android.arch.lifecycle.ReflectiveGenericLifecycleObserver,androidx.lifecycle.ReflectiveGenericLifecycleObserver,,,android.arch.lifecycle,androidx.lifecycle,,
ReportFragment,android.arch.lifecycle.ReportFragment,androidx.lifecycle.ReportFragment,Android.Arch.Lifecycle.ReportFragment,AndroidX.Lifecycle.ReportFragment,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
ServiceLifecycleDispatcher,android.arch.lifecycle.ServiceLifecycleDispatcher,androidx.lifecycle.ServiceLifecycleDispatcher,Android.Arch.Lifecycle.ServiceLifecycleDispatcher,AndroidX.Lifecycle.ServiceLifecycleDispatcher,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
SingleGeneratedAdapterObserver,android.arch.lifecycle.SingleGeneratedAdapterObserver,androidx.lifecycle.SingleGeneratedAdapterObserver,Android.Arch.Lifecycle.SingleGeneratedAdapterObserver,AndroidX.Lifecycle.SingleGeneratedAdapterObserver,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
TransformationKt,android.arch.lifecycle.TransformationKt,androidx.lifecycle.TransformationKt,,,android.arch.lifecycle,androidx.lifecycle,,
Transformations,android.arch.lifecycle.Transformations,androidx.lifecycle.Transformations,Android.Arch.Lifecycle.Transformations,AndroidX.Lifecycle.Transformations,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
Validator,android.arch.lifecycle.Validator,androidx.lifecycle.Validator,,,android.arch.lifecycle,androidx.lifecycle,,
ViewModel,android.arch.lifecycle.ViewModel,androidx.lifecycle.ViewModel,Android.Arch.Lifecycle.ViewModel,AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
ViewModelProvider,android.arch.lifecycle.ViewModelProvider,androidx.lifecycle.ViewModelProvider,Android.Arch.Lifecycle.ViewModelProvider,AndroidX.Lifecycle.ViewModelProvider,android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
